File name,z,Mean (J-band),Mean (H-band),Mean (K-band)
J0313-1806,7.642300129,15.9,18.8,27.2
J1342+0928,7.54129982,33.5,43.7,13
J1007+2115,7.514900208,18.5,19.5,24.2
J1120+0641,7.085100174,44.7,53.7,308.7
J1243+0100,7.070000172,1.4,1,1.3
J0038-1527,7.03399992,24.8,24.6,22.6
J0252-0503,7.000599861,29.1,39.7,12.7
J0410-0139,6.9964,6,5.9,8.1
J0839+3900,6.904600143,27.2,29.9,43.9
J2348-3054,6.901800156,7.5,10.3,4.2
J0246-5219,6.887599945,6.1,11.7,4.9
J1917+5003,6.845,5.2,5.4,5.3
J2211-6320,6.844900131,9,12.9,4.8
J0020-3653,6.834000111,6,8.3,3.6
J0319-1008,6.827499866,4.9,6.1,12.2
J0411-0907,6.826000214,17.4,18,19.6
J1129+1846,6.822999954,6.6,8.2,3.2
J0109-3047,6.79090023,6.7,9.3,3.7
J0829+4117,6.772999763,12.2,9.2,13.2
J0218+0007,6.769999981,2.8,3.3,3.6
J1104+2134,6.766200066,16.1,14.3,17.6
J0910+1656,6.728899956,8.9,7.3,10.7
J0430-1445,6.7142,8.4,7.5,11.7
J0837+4929,6.702000141,26.4,23.7,36.2
J2002-3013,6.687600136,9.7,6.4,8
J0923+0753,6.68170023,3.2,2,2.9
J1048-0109,6.675899982,5.1,6.7,2.9
J2232+2930,6.665999889,10.6,9.2,8.5
J2102-1458,6.664500237,9.4,8.5,10.4
J1216+4519,6.659999847,4.8,3.6,5.3
J0910-0414,6.636300087,9.8,11.4,15.6
J0923+0402,6.632999897,24.4,48.5,23.1
J0024+3913,6.620999813,8.5,6.1,9.7
J0305-3150,6.614500046,12.3,15.6,6.3
J0706+2921,6.603700161,24.3,25.6,34.2
J2132+1217,6.588099957,30.6,35.3,16.5
J1526-2050,6.586400032,33,45.6,18.9
J1135+5011,6.585100174,12.8,11.6,16.2
J1058+2930,6.584599972,5,4.9,5.7
J2338+2143,6.565000057,3.4,2.4,2.8
J0921+0007,6.564599991,9,8.1,12
J0226+0302,6.541220188,26.5,30.6,11.7
J0224-4711,6.522200108,27.2,40.7,20
J0439+1634,6.519199848,207.7,285.8,149.5
J1110-1329,6.514800072,4.8,7.6,3.7
