qso_name,short_name,z,err_z,J_ab,err_J,mag_Y,err_Y,mag_Kp,err_Kp,passband,keyword,M1450
J031343.839-180636.404,J0313-1806,7.6423,0.0013,20.92,0.13,,,,,VISTA,,-26.20838036
J134208.110+092838.610,J1342+0928,7.5413,0.0007,20.644,0.0819,,,,,UKIRT,WFCAM,-26.33561405
J100758.264+211529.207,J1007+2115,7.5149,0.0005,20.2,0.18,,,,,UKIRT,UHS,-26.81770969
J112001.480+064124.300,J1120+0641,7.0851,0.0005,20.165,0.069,,,,,UKIRT,WFCAM,-26.56469916
J124353.930+010038.500,J1243+0100,7.07,0.01,,,23.57,0.08,,,Subaru,HSC,-24.13
J003836.097-152723.636,J0038-1527,7.034,0.0003,19.688,0.07,,,,,UKIRT,WFCAM,-27.02969659
J025216.640-050331.810,J0252-0503,7.0006,0.0009,20.188,0.07,,,,,UKIRT,,-26.62522582
J041009-013919,J0410-0139,6.9964,0.0005,20.75,0.07,,,,,NTT,SofI,-25.85803935
J083946.880+390011.440,J0839+3900,6.9046,0.01,20.386,0.1958,,,,,UKIRT,WFCAM,-26.21435408
J234833.340-305410.000,J2348-3054,6.9018,0.0007,21.096,0.0779,,,,,UKIRT,WFCAM,-25.22384835
J024655.902-521949.950,J0246-5219,6.8876,0.0003,21.203,0.135,,,,,UKIRT,WFCAM,-25.30090274
J191729.984+500313.540,J1917+5003,6.845,0.003,20.66,0.05,,,,,NOTcam,,-26.2078717
J221100.601-632055.845,J2211-6320,6.8449,0.0003,21.272,0.1756,,,,,UKIRT,WFCAM,-25.47012667
J002031.470-365341.800,J0020-3653,6.834,0.004,20.422,0.0999,,,,,UKIRT,WFCAM,-25.99945226
J031941.660-100846.000,J0319-1008,6.8275,0.0021,20.879,0.2951,,,,,UKIRT,WFCAM,-25.48014237
J041128.628-090749.700,J0411-0907,6.826,0.0007,20.02,0.14,,,,,VISTA,,-26.48954427
J112925.368+184624.330,J1129+1846,6.823,0.003,20.9,0.11,,,,,NOTCam,,-25.42071234
J010953.130-304726.300,J0109-3047,6.7909,0.0004,21.278,0.1346,,,,,UKIRT,WFCAM,-25.20042295
J082931.979+411740.870,J0829+4117,6.773,0.006,20.261,0.1461,,,,,UKIRT,WFCAM,-26.15437248
J021847.040+000715.200,J0218+0007,6.77,0.0013,21.08,0.3,,,,,UKIRT,WFCAM,-25.89604038
J110421.580+213428.850,J1104+2134,6.7662,0.0009,19.913,0.1143,,,,,UKIRT,WFCAM,-26.50577856
J091013.651+165630.180,J0910+1656,6.7289,0.0005,21.058,0.13,,,,,UKIRT,WFCAM,-25.34628174
J043043.660-144541.210,J0430-1445,6.7142,0.0006,20.78,0.09,,,,,NTT,SofI,-25.65628821
J083737.830+492900.600,J0837+4929,6.702,0.008,20.208,0.17,,,,,UKIRT,UHS,-26.06903069
J200241.594-301321.690,J2002-3013,6.6876,0.0004,19.97,0.16,,,,,UKIRT,WFCAM,-26.62182449
J092358.997+075349.107,J0923+0753,6.6817,0.0005,,,21.25,0.26,,,UKIRT,WFCAM,-25.68743805
J104819.090-010940.210,J1048-0109,6.6759,0.0005,20.865,0.0604,,,,,UKIRT,WFCAM,-25.86359547
J223255.150+293032.040,J2232+2930,6.666,0.004,20.455,0.1167,,,,,UKIRT,WFCAM,-25.83085454
J210219.230-145853.860,J2102-1458,6.6645,0.0002,21.148,0.2,,,,,UKIRT,WFCAM,-25.42054475
J121627.584+451910.675,J1216+4519,6.66,0.01,21.018,0.13,,,,,UKIRT,WFCAM,-25.51819603
J091054.535-041406.846,J0910-0414,6.6363,0.0003,20.234,0.0727,,,,,UKIRT,WFCAM,-26.396787
J092347.117+040254.580,J0923+0402,6.633,0.0003,20.137,0.078,,,,,UKIRT,WFCAM,-26.523945
J002429.772+391318.980,J0024+3913,6.621,0.002,21.281,0.4833,,,,,UKIRT,WFCAM,-25.31614494
J030516.920-315056.000,J0305-3150,6.6145,0.0001,20.602,0.0458,,,,,UKIRT,WFCAM,-25.68555453
J070626.379+292105.460,J0706+2921,6.6037,0.0003,19.136,0.0513,,,,,UKIRT,WFCAM,-27.41015039
J213233.190+121755.260,J2132+1217,6.5881,0.0003,19.74,0.03,,,,,NTT,SofI,-26.91390462
J152637.840-205000.660,J1526-2050,6.5864,0.0005,19.6,0.0769,,,,,UKIRT,WFCAM,-27.03000523
J113508.918+501132.600,J1135+5011,6.5851,0.0008,20.408,0.16,,,,,UKIRT,UHS,-26.07514237
J105807.720+293041.703,J1058+2930,6.5846,0.0005,,,,,20.56,0.05,Keck,NIRC2,-26.03922133
J233807.032+214358.170,J2338+2143,6.565,0.03,20.75,0.3,,,,,UKIRT,WFCAM,-25.81562794
J092120.560+000722.900,J0921+0007,6.5646,0.0003,21.114,0.1065,,,,,UKIRT,WFCAM,-25.31896605
J022601.870+030259.280,J0226+0302,6.5412,0.0018,19.396,0.094,,,,,UKIRT,WFCAM,-27.19175386
J022426.540-471129.400,J0224-4711,6.5222,0.0001,19.728,0.0475,,,,,UKIRT,WFCAM,-26.66282773
J043947.098+163415.819,J0439+1634,6.5192,0.0001,17.473,0.0158,,,,,UKIRT,WFCAM,-28.8221633
J111033.960-132945.600,J1110-1329,6.5148,0.0005,20.589,0.1844,,,,,UKIRT,WFCAM,-26.07869987
